Tempo,Methane stde
0,0.0020976557692201758
1,0.0020060478206621883
2,0.0019144398721042005
3,0.0018228319235462128
4,0.0017312239749882256
5,0.0017051773586425718
6,0.001679130742296919
7,0.0016530841259512652
8,0.001627037509605612
9,0.0016019332069110831
10,0.0015758712600084282
11,0.0015498093131057732
12,0.0015237473662031184
13,0.0014976854193004634
14,0.0014642612492391251
15,0.0014308370791777873
16,0.001397412909116449
17,0.001363988739055111
18,0.0013305645689937727
19,0.001297322632762012
20,0.0012638937669757423
21,0.001230810731684467
22,0.0011973724704890387
23,0.0012155319307800422
24,0.0012335231026001404
25,0.001251866169337832
26,0.0012700409519122609
27,0.0012884020305907174
28,0.0013067734418964548
29,0.0013249687368087797
30,0.0013429801604052341
31,0.001349754584681769
32,0.0013574840420538814
33,0.0013642632357082512
34,0.0013710424293626208
35,0.0013778216230169904
36,0.0013846008166713598
37,0.0013915759517438859
38,0.0013983561000798011
39,0.0014053341549295775
40,0.0014202261737089202
41,0.0014351181924882627
42,0.0014502144668263135
43,0.0014657279922961292
44,0.0014810458368574384
45,0.0014959504510854247
46,0.0015108550653134107
47,0.0015257596795413967
48,0.0015406642937693827
49,0.001525503594586975
50,0.0015107688240270725
51,0.0014956038494077833
52,0.001480438874788494
53,0.0014652739001692048
54,0.0014501089255499152
55,0.001434943950930626
56,0.0014197789763113367
57,0.0014042180011277134
58,0.001391803196363124
59,0.001379388391598534
60,0.0013669735868339441
61,0.0013545587820693544
62,0.0013421439773047647
63,0.0013293543897970686
64,0.001316943084131905
65,0.0013043479639284201
66,0.0013095474613686532
67,0.0013147469588088863
68,0.001319946456249119
69,0.001325145953689352
70,0.001330345451129585
71,0.001335544948569818
72,0.0013405555555555556
73,0.001345754320465859
74,0.0013509530853761623
75,0.0013328483375598759
76,0.0013147435897435898
77,0.0012964561910128185
78,0.0012781739436619718
79,0.0012598968455147163
80,0.0012416248943959447
81,0.0012235303435651926
82,0.001205435792734441
83,0.0011873412419036889
84,0.0011987353327701116
85,0.001210129423636534
86,0.0012215235145029567
87,0.0012329176053693792
88,0.001244311696235802
89,0.0012557057871022245
90,0.001267099877968647
91,0.0012784939688350696
92,0.0012898880597014925
93,0.0012869521349619826
94,0.0012840162102224723
95,0.0012810802854829623
96,0.0012781443607434524
97,0.0012752084360039427
98,0.0012722725112644323
99,0.0012693365865249222
100,0.0012664006617854123
101,0.0012705329484652206
102,0.0012746652351450294
103,0.0012787975218248378
104,0.0012829298085046464
105,0.0012870620951844548
106,0.0012911943818642638
107,0.001295326668544072
108,0.0012994589552238805
109,0.001303591241903689
110,0.0012974422697831596
111,0.0012912932976626302
112,0.0012851443255421004
113,0.001278995353421571
114,0.0012728463813010422
115,0.0012666974091805126
116,0.001260548437059983
117,0.0012543994649394535
118,0.0012482504928189241
119,0.0012362524640946212
120,0.001224254435370318
121,0.0012119151182432434
122,0.0011999204673423425
123,0.0011879258164414414
124,0.0011754347826086957
125,0.0011632815137872822
126,0.0011512936128306136
127,0.0011391454494302997
128,0.0012254699953117675
129,0.0013119547585560241
130,0.0013982428631697371
131,0.00148471546430413
132,0.0015711880654385225
133,0.0016571945733164632
134,0.0017436428604901825
135,0.001830091147663902
136,0.0019165394348376213
137,0.0019625054038380435
138,0.002008471372838465
139,0.0020535712215430015
140,0.0020995178119730183
141,0.0021454644024030355
142,0.002191410992833052
143,0.002237357583263069
144,0.002283304173693086
