Tempo,mp_arSeco
0,0.017362598479088394
1,0.017345425632154278
2,0.017345426120396794
3,0.017345426105638825
4,0.017345426106084902
5,0.017362598952651378
6,0.017362598464334158
7,0.017362598479088394
8,0.0173625984786426
9,0.01736259847865607
10,0.01736259847865566
11,0.017362598478655674
12,0.017362598478655674
13,0.017362598478655674
14,0.017362598478655674
15,0.017362598478655674
16,0.017401172426965348
17,0.017401171332181067
18,0.017401171365229236
19,0.01740117136423161
20,0.017379752474087108
21,0.017379753081450653
22,0.01737975306310694
23,0.01741828718676519
24,0.017418286094450668
25,0.017418286127410976
26,0.017418286126416407
27,0.01743538374703062
28,0.01743538326337792
29,0.017435383277966142
30,0.01743538327752612
31,0.01741828565703092
32,0.017418286140610004
33,0.017418286126018125
34,0.017401170893794195
35,0.017401171378462785
36,0.01740117136383213
37,0.017401171364273788
38,0.017418286596989477
39,0.017418286112246998
40,0.017418286126873975
41,0.017418286126432612
42,0.01743538374703062
43,0.01743538326337792
44,0.017435383277966142
45,0.01741828565703091
46,0.017418286140610004
47,0.017418286126018125
48,0.017418286126458436
49,0.01743538374703062
50,0.01743538326337792
51,0.017435383277966142
52,0.01743538327752612
53,0.01745246333970886
54,0.017452462857141214
55,0.01745246287169086
56,0.017418285188740616
57,0.01741828615474055
58,0.017418286125591747
59,0.017418286126471304
60,0.01743538374703062
61,0.01743538326337792
62,0.017435383277966142
63,0.01743538327752612
64,0.01745246333970886
65,0.017452462857141214
66,0.01745246287169086
67,0.01745246287125218
68,0.017435382809171892
69,0.017435383291666173
70,0.017435383277112894
71,0.01743538327755186
72,0.01743538327753862
73,0.01743538327753902
74,0.017435383277539004
75,0.01745246333970886
76,0.017452462857141214
77,0.01745246287169086
78,0.01745246287125218
79,0.01745246287126541
80,0.01745246287126501
81,0.017452462871265024
82,0.01745246287126502
83,0.01745246287126502
84,0.01745246287126502
85,0.01745246287126502
86,0.01745246287126502
87,0.01745246287126502
88,0.01745246287126502
89,0.01745246287126502
90,0.01748657053399098
